DATE,Hard coal consumption per capita [tones]
1994-07-01T00:00:00Z,0.076
1994-08-01T00:00:00Z,0.097
1994-09-01T00:00:00Z,0.14
1994-10-01T00:00:00Z,0.213
1994-11-01T00:00:00Z,0.345
1994-12-01T00:00:00Z,0.431
1995-01-01T00:00:00Z,0.497
1995-02-01T00:00:00Z,0.49
1995-03-01T00:00:00Z,0.452
1995-04-01T00:00:00Z,0.33
1995-05-01T00:00:00Z,0.134
1995-06-01T00:00:00Z,0.084
1995-07-01T00:00:00Z,0.047
1995-08-01T00:00:00Z,0.051
1995-09-01T00:00:00Z,0.078
1995-10-01T00:00:00Z,0.122
1995-11-01T00:00:00Z,0.244
1995-12-01T00:00:00Z,0.311
1996-01-01T00:00:00Z,0.389
1996-02-01T00:00:00Z,0.43
1996-03-01T00:00:00Z,0.418
1996-04-01T00:00:00Z,0.335
1996-05-01T00:00:00Z,0.162
1996-06-01T00:00:00Z,0.076
1996-07-01T00:00:00Z,0.033
1996-08-01T00:00:00Z,0.037
1996-09-01T00:00:00Z,0.055
1996-10-01T00:00:00Z,0.079
1996-11-01T00:00:00Z,0.151
1996-12-01T00:00:00Z,0.222
1997-01-01T00:00:00Z,0.317
1997-02-01T00:00:00Z,0.331
1997-03-01T00:00:00Z,0.287
1997-04-01T00:00:00Z,0.211
1997-05-01T00:00:00Z,0.086
1997-06-01T00:00:00Z,0.038
1997-07-01T00:00:00Z,0.017
1997-08-01T00:00:00Z,0.022
1997-09-01T00:00:00Z,0.032
1997-10-01T00:00:00Z,0.047
1997-11-01T00:00:00Z,0.098
1997-12-01T00:00:00Z,0.149
1998-01-01T00:00:00Z,0.203
1998-02-01T00:00:00Z,0.223
1998-03-01T00:00:00Z,0.193
1998-04-01T00:00:00Z,0.114
1998-05-01T00:00:00Z,0.04
1998-06-01T00:00:00Z,0.018
1998-07-01T00:00:00Z,0.011
1998-08-01T00:00:00Z,0.018
1998-09-01T00:00:00Z,0.026
1998-10-01T00:00:00Z,0.041
1998-11-01T00:00:00Z,0.084
1998-12-01T00:00:00Z,0.142
1999-01-01T00:00:00Z,0.21
1999-02-01T00:00:00Z,0.234
1999-03-01T00:00:00Z,0.236
1999-04-01T00:00:00Z,0.192
1999-05-01T00:00:00Z,0.075
1999-06-01T00:00:00Z,0.031
1999-07-01T00:00:00Z,0.015
1999-08-01T00:00:00Z,0.015
1999-09-01T00:00:00Z,0.024
1999-10-01T00:00:00Z,0.057
1999-11-01T00:00:00Z,0.134
1999-12-01T00:00:00Z,0.226
2000-01-01T00:00:00Z,0.364
